Employee Code,Date,Time,Action
001-29,2026-04-20,07:35:00,Check-In
001-29,2026-04-20,17:05:00,Check-Out
002-29,2026-04-20,07:42:00,Check-In
002-29,2026-04-20,17:15:00,Check-Out
006-32,2026-04-20,07:50:00,Check-In
006-32,2026-04-20,17:30:00,Check-Out
009-35,2026-04-20,08:02:00,Check-In
009-35,2026-04-20,17:20:00,Check-Out
012-38,2026-04-20,07:58:00,Check-In
021-42,2026-04-20,08:10:00,Check-In
021-42,2026-04-20,17:45:00,Check-Out
036-44,2026-04-20,08:15:00,Check-In
999-99,2026-04-20,08:00:00,Check-In
042-45,2026-04-20,ไม่มีเวลา,Check-In
